"","city","param","local.mean","local.sd","global.mean","global.sd"
"3","DC","year_rounded",1967.64705882353,34.1466344909542,1968.45454545455,30.8501864943149
"4","DC","prcnt_park_area",17.8382501066703,4.15637679503953,11.7347079027415,4.95336089109167
"5","DC","mean_park_EIratio",0.0838036266888415,0.0322735241895145,0.0528818727866519,0.0324532594680887
"6","DC","park_clumpy",0.930983206214223,0.0231105170818196,0.933894093591177,0.024911489194502
"7","DC","total.effort",390.705882352941,274.553447598524,294.854545454545,248.68285754423
"8","DC","Pop.Est",610942.441176471,131711.336534185,518352.554545455,136541.486044592
"9","DC","Pop.Dens",3441.69749381748,741.985735978878,3257.26086532552,769.250900351258
"10","DC","regional.C",2.11594288403811,0.943603290595909,-2.00147927553653,4.39299859742337
"11","DC","UHI.C",0.621928825625578,0.357417325420732,0.611228558310241,0.587455611727971
"14","MN","year_rounded",1977.5,23.8047614284762,1968.45454545455,30.8501864943149
"15","MN","prcnt_park_area",9.75187614612295,1.37088196273378,11.7347079027415,4.95336089109167
"16","MN","mean_park_EIratio",0.0427299976907142,0.0164918705155311,0.0528818727866519,0.0324532594680887
"17","MN","park_clumpy",0.912486072182756,0.0177255239365476,0.933894093591177,0.024911489194502
"18","MN","total.effort",185.1875,103.200270509981,294.854545454545,248.68285754423
"19","MN","Pop.Est",427698.65625,57038.8958056164,518352.554545455,136541.486044592
"20","MN","Pop.Dens",2875.04595178274,383.422870480657,3257.26086532552,769.250900351258
"21","MN","regional.C",-8.37471091327109,1.05296752106137,-2.00147927553653,4.39299859742337
"22","MN","UHI.C",0.373079976437975,0.682433325500163,0.611228558310241,0.587455611727971
"25","PA","year_rounded",1962.5,32.4679328979636,1968.45454545455,30.8501864943149
"26","PA","prcnt_park_area",8.46039384088282,2.05007969116131,11.7347079027415,4.95336089109167
"27","PA","mean_park_EIratio",0.0363709721138237,0.024130131042459,0.0528818727866519,0.0324532594680887
"28","PA","park_clumpy",0.951712885770401,0.0166059219019994,0.933894093591177,0.024911489194502
"29","PA","total.effort",300.545454545455,278.120687621609,294.854545454545,248.68285754423
"30","PA","Pop.Est",512735.931818182,138437.274053759,518352.554545455,136541.486044592
"31","PA","Pop.Dens",3392.71613497649,916.023910590492,3257.26086532552,769.250900351258
"32","PA","regional.C",-0.548046116855421,1.12696112213206,-2.00147927553653,4.39299859742337
"33","PA","UHI.C",0.743788874511579,0.751708444926589,0.611228558310241,0.587455611727971
