Year,Participants,Hours
1986,118,277
1987,91,264
1988,98,296.5
1989,90,236
1990,113,248
1991,107,288
1992,87,201
1993,89,245.5
1994,90,216
1995,99,214
1996,120,248
1997,125,238
1998,109,175
1999,91,188
2000,85,169
2001,88,179
2002,87,190.5
2003,86,169.75
2004,98,207
2005,100,198
2006,102,219
2007,103,186.5
2008,95,195.5
2009,87,199
2010,80,176.5
2011,,169
2012,109,181
2013,183,319.5
2014,115,251.5
2015,151,596
2016,132,278
2017,125,279
2018,202,433
2019,196,223
